Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
85,1,0,1870,10,2011,0,0,2011,0
86,0,0,480,2,2005,1,31,2005,1
87,0,0,560,12,2010,0,0,2010,0
88,0,0,10690,10,2005,0,0,2005,0
89,0,0,2380,7,2004,1,40,2004,1
90,0,0,330,11,2007,0,0,2007,0
91,2,0,2410,1,1990,1,35,1990,1
92,2,0,240,1,1990,1,45,1990,2
93,0,0,16107,1,1990,1,14,1990,1
94,3,2,14620,1,1990,0,0,1990,0
95,0,0,1890,10,2014,0,0,2014,0
96,0,0,8780,2,2005,1,37,2005,1
97,3,2,8980,1,1990,0,0,1990,0
98,3,2,15140,12,2006,1,1,2006,1
99,2,2,2030,11,2003,1,22,2003,3
100,3,0,16107,1,1990,0,0,1990,0
101,3,2,2440,1,1990,1,22,1990,3
102,0,0,150,12,2007,1,10,2007,3
103,3,2,5210,5,2015,0,0,2015,0
104,0,0,390,6,2009,0,0,2009,0
105,0,2,6190,1,1990,1,23,1990,3
106,0,0,1390,8,2013,0,0,2013,0
107,0,0,1930,9,2009,0,0,2009,0
108,3,2,2190,9,2003,0,0,2003,0
109,0,2,3300,11,2010,0,0,2010,0
110,0,2,16107,4,2013,0,0,2013,0
111,3,2,7890,1,1990,1,37,1990,1
112,0,0,1630,9,2009,0,0,2009,0
113,3,2,16107,11,1999,0,0,1999,0
114,2,0,4510,1,1990,1,48,1990,3
115,3,2,5740,4,2007,1,40,2007,1
116,0,0,680,4,2013,0,0,2013,0
117,0,0,3450,9,2011,0,0,2011,0
118,3,2,3580,9,2012,0,0,2012,0
119,0,2,2100,2,2010,0,0,2010,0
120,3,0,2290,12,2014,1,37,2014,1
121,0,0,3570,11,2009,1,36,2009,3
122,0,2,16107,4,2013,0,0,2013,0
123,0,0,16107,9,2011,0,0,2011,0
124,0,0,1410,4,2003,0,0,2003,0
125,0,0,760,12,2005,0,0,2005,0
126,3,0,3370,10,2014,1,18,2014,2
127,3,0,1350,12,2005,1,13,2005,1
128,3,2,2000,1,1990,1,1,1990,1
129,0,0,2460,1,1990,1,14,1990,1
130,2,0,900,1,1990,1,13,1990,1
131,2,0,920,7,2015,0,0,2015,0
132,3,2,1040,1,1990,1,27,1990,1
133,0,0,270,8,2013,1,10,2013,3
134,0,0,1200,9,2008,0,0,2008,0
135,3,0,5190,1,1990,1,1,1990,1
136,0,2,2200,12,2010,1,22,2010,2
137,0,0,1730,7,2015,1,40,2015,1
138,0,2,16107,10,2014,0,0,2014,0
139,0,0,1700,1,2008,1,14,2008,1
140,0,2,1090,7,2010,1,1,2010,1
141,2,2,1540,1,1990,1,22,1990,3
142,0,0,1090,7,2002,0,0,2002,0
143,3,0,2930,12,2002,0,0,2002,0
144,0,2,16107,1,1990,0,0,1990,0
145,0,0,280,1,1990,1,45,1990,2
146,3,2,8050,10,1961,1,48,1961,1
147,3,2,8540,1,1990,0,0,1990,0
148,0,0,2090,12,2008,0,0,2008,0
149,3,0,2610,7,2006,1,14,2006,1
150,2,2,16107,3,2010,0,0,2010,0
151,3,2,4360,10,2005,0,0,2005,0
152,0,0,1780,1,1990,0,0,1990,0
153,0,0,16107,10,2000,1,18,2000,2
154,3,2,16107,1,1990,0,0,1990,0
155,3,0,3050,1,1990,1,35,1990,1
156,0,0,2020,2,2011,1,14,2011,3
157,0,2,2950,10,2004,0,0,2004,0
158,3,2,11840,1,1990,1,31,1990,2
159,3,0,8530,3,2013,0,0,2013,0
160,3,2,16107,11,2005,0,0,2005,0
161,0,2,2970,3,2005,0,0,2005,0
162,3,2,5340,3,2012,1,13,2012,1
163,0,0,1480,4,2009,0,0,2009,0
164,0,0,1160,9,2005,1,13,2005,1
165,0,0,3720,4,2005,1,13,2005,1
166,0,2,100,4,2014,1,31,2014,1
167,0,0,140,4,2008,0,0,2008,0
168,0,0,12540,1,1990,0,0,1990,0
169,3,0,980,7,2014,1,18,2014,2
170,0,0,1070,5,2015,1,14,2015,1
171,0,0,2640,1,1990,0,0,1990,0
172,0,0,110,1,1990,1,40,1990,1
173,0,0,350,12,2012,0,0,2012,0
174,0,0,13090,1,1990,1,22,1990,1
175,2,0,4130,1,1990,0,0,1990,0
176,0,0,3770,1,1990,0,0,1990,0
177,0,0,1250,2,2004,1,5,2004,2
178,3,0,1710,1,1990,0,0,1990,0
179,0,2,480,1,1990,0,0,1990,0
180,3,0,5800,9,2010,0,0,2010,0
181,0,0,12610,3,2013,1,14,2013,1
182,3,2,1390,1,1990,1,9,1990,3
183,0,0,9670,1,1990,0,0,1990,0
184,3,2,3560,1,1990,0,0,1990,0
185,3,2,1860,5,2015,0,0,2015,0
186,0,0,290,10,2011,1,40,2011,1
187,0,2,16107,1,1990,0,0,1990,0
188,3,0,850,1,1990,1,18,1990,2
189,3,0,5760,7,2014,0,0,2014,0
190,0,0,1470,12,2006,1,40,2006,1
191,0,0,1100,8,2013,1,40,2013,1
192,3,2,2770,3,2008,1,40,2008,1
193,0,0,520,1,1990,0,0,1990,0
194,3,2,16107,1,1990,1,5,1990,2
195,0,2,220,1,1990,0,0,1990,0
196,2,0,3850,11,2005,1,14,2005,1
197,2,0,4210,3,2015,0,0,2015,0
198,0,0,290,9,2002,1,13,2002,1
199,3,2,6360,12,2010,1,14,2010,3
200,0,0,1650,10,2000,0,0,2000,0
201,3,0,16107,1,1990,1,18,1990,3
202,3,2,5140,5,2010,0,0,2010,0
203,2,2,490,11,2002,0,0,2002,0
204,0,0,5630,12,2002,1,40,2002,1
205,0,0,110,12,2007,0,0,2007,0
206,0,2,380,1,1990,1,14,1990,1
207,0,0,6870,1,1990,0,0,1990,0
208,2,0,300,4,2006,0,0,2006,0
209,0,2,11680,9,2011,1,31,2011,1
210,3,0,970,11,1999,1,5,1999,2
211,0,2,350,11,2006,0,0,2006,0
212,0,2,15050,9,2008,0,0,2008,0
213,3,2,4030,3,2014,1,1,2014,1
214,3,0,8650,7,2013,1,10,2013,1
215,3,0,150,1,1990,1,45,1990,2
216,2,0,190,1,1990,1,45,1990,2
217,2,0,3150,1,1990,0,0,1990,0
218,0,2,640,1,1990,1,9,1990,3
219,0,0,1640,2,2013,0,0,2013,0
220,0,0,1000,9,2008,0,0,2008,0
221,3,2,13530,9,2013,0,0,2013,0
222,0,0,2170,11,2008,0,0,2008,0
223,3,2,2920,10,1995,1,27,1995,1
224,3,2,7930,1,1990,1,1,1990,1
225,3,0,10180,5,2015,0,0,2015,0
226,0,0,450,1,1990,0,0,1990,0
227,0,0,2370,1,1990,0,0,1990,0
228,3,2,10800,1,1990,1,18,1990,2
229,3,2,16107,4,2007,1,14,2007,1
230,3,2,6680,9,2013,0,0,2013,0
231,3,2,3840,10,2008,1,39,2008,2
232,2,2,13570,5,2010,1,10,2010,3
233,0,0,1890,1,1990,0,0,1990,0
234,3,0,4370,1,1990,0,0,1990,0
235,0,0,5710,3,2012,1,37,2012,1
236,0,0,1000,11,2007,0,0,2007,0
237,0,0,1420,11,2007,0,0,2007,0
238,0,0,320,1,1990,1,45,1990,2
239,3,2,610,1,1990,0,0,1990,0
240,0,0,1110,5,2009,0,0,2009,0
241,3,2,780,1,1990,0,0,1990,0
242,3,0,6880,9,2001,1,14,2001,1
243,0,0,310,1,1990,1,5,1990,2
244,3,0,710,3,2012,1,1,2012,1
245,0,2,1310,1,1990,0,0,1990,0
246,2,0,4660,4,2013,0,0,2013,0
247,3,2,70,11,2010,1,5,2010,2
248,0,2,340,9,2012,1,40,2012,1
249,3,2,16107,9,2014,0,0,2014,0
250,3,0,3520,1,1990,1,18,1990,2
251,0,2,340,1,1990,0,0,1990,0
252,3,2,16107,1,1990,1,5,1990,2
253,0,2,250,1,1990,1,5,1990,2
254,3,0,330,3,2008,1,1,2008,3
255,2,2,4630,3,2011,1,35,2011,2
256,0,2,80,9,2005,1,10,2005,3
257,0,0,420,12,2012,0,0,2012,0
258,0,0,16107,7,2010,1,37,2010,1
259,1,1,210,1,1990,0,0,1990,0
260,0,0,540,10,2011,0,0,2011,0
261,3,2,15340,4,2015,1,39,2015,1
262,1,0,1180,5,2013,0,0,2013,0
263,0,2,1140,5,2013,1,40,2013,1
264,0,0,180,3,2014,0,0,2014,0
265,0,0,4580,1,1990,1,14,1990,1
266,0,2,360,3,2014,1,9,2014,3
267,2,0,2460,1,2012,0,0,2012,0
268,0,0,4520,2,2014,0,0,2014,0
269,0,2,60,6,2015,0,0,2015,0
270,0,0,1450,7,2014,0,0,2014,0
271,0,0,420,1,1990,1,14,1990,1
272,0,0,16107,7,2003,1,14,2003,1
273,0,2,8480,1,1990,0,0,1990,0
274,1,1,3640,1,1990,1,10,1990,1
275,3,0,300,5,2014,1,40,2014,1
276,0,0,2960,10,2014,1,36,2014,3
277,3,2,7840,1,1990,1,31,1990,2
278,0,2,9260,2,2010,0,0,2010,0
279,3,2,2320,1,1990,1,40,1990,1
280,3,2,16107,9,2013,1,10,2013,3
281,3,2,6970,9,2011,0,0,2011,0
282,0,0,1220,12,2010,0,0,2010,0
283,0,0,2260,1,1990,1,40,1990,1
284,3,0,1290,1,1990,1,40,1990,1
285,0,0,2410,1,1990,0,0,1990,0
286,0,0,1460,4,2015,0,0,2015,0
287,2,0,2740,5,2009,1,40,2009,1
288,3,0,800,1,1990,1,14,1990,3
289,3,0,6540,12,2007,0,0,2007,0
290,0,0,4150,5,2001,0,0,2001,0
291,3,0,2325,1,1990,0,0,1990,0
292,0,0,1100,6,2009,0,0,2009,0
293,2,2,140,11,2007,0,0,2007,0
294,0,0,3150,5,2005,0,0,2005,0
295,0,0,210,11,2000,1,36,2000,3
296,0,0,9580,5,2007,1,45,2007,2
297,0,0,2300,9,2010,0,0,2010,0
298,3,0,16107,7,2009,0,0,2009,0
299,3,2,16107,9,2012,0,0,2012,0
300,0,2,120,4,2009,1,1,2009,1
301,0,2,4510,3,2015,0,0,2015,0
302,3,2,2190,12,2007,1,9,2007,3
303,0,0,15430,11,2012,1,18,2012,2
304,0,0,1950,7,2015,0,0,2015,0
305,2,2,2470,2,2005,1,31,2005,3
306,0,0,5100,4,2007,1,40,2007,1
307,0,0,16107,9,2002,0,0,2002,0
308,0,0,1070,12,2006,1,13,2006,1
309,3,0,8740,1,1990,1,37,1990,2
310,0,2,2290,1,1990,1,10,1990,3
311,0,2,680,7,2005,0,0,2005,0
312,3,0,11300,3,2012,0,0,2012,0
313,3,2,14160,1,1990,0,0,1990,0
314,0,0,3560,10,2001,1,31,2001,2
315,0,2,16107,4,2013,0,0,2013,0
316,3,0,9000,8,2001,0,0,2001,0
317,3,0,3140,7,2013,1,14,2013,1
318,3,2,16107,3,2014,0,0,2014,0
319,0,2,570,9,2012,1,27,2012,3
320,0,2,210,9,2012,0,0,2012,0
321,2,2,8140,11,2013,1,10,2013,3
322,0,0,16107,4,2001,1,37,2001,1
323,3,2,8400,4,2012,1,5,2012,2
324,0,0,13140,1,1990,1,14,1990,1
325,0,2,350,3,2011,1,22,2011,2
326,3,0,10070,5,2015,1,31,2015,2
327,2,2,1390,12,2004,0,0,2004,0
328,0,0,3130,7,2002,0,0,2002,0
329,0,0,1310,6,1990,1,22,1990,3
330,0,2,370,1,1990,1,22,1990,3
331,0,2,670,1,1990,1,14,1990,1
332,0,0,1840,3,2006,0,0,2006,0
333,0,2,3720,2,2010,0,0,2010,0
334,3,2,4040,8,2008,1,18,2008,3
335,1,0,90,1,1990,1,31,1990,1
336,0,0,190,7,2014,0,0,2014,0
337,3,2,10600,7,2005,1,45,2005,2
338,0,2,1590,1,1990,1,37,1990,1
339,0,2,2280,1,1990,1,10,1990,3
340,0,2,8080,1,1990,0,0,1990,0
341,0,0,190,9,2011,0,0,2011,0
342,3,2,15770,1,1990,1,40,1990,1
343,3,0,16107,4,2004,1,14,2004,1
344,0,2,300,4,2011,1,14,2011,1
345,0,0,120,1,1990,1,22,1990,1
346,0,2,8090,1,1990,0,0,1990,0
347,3,2,9360,7,2013,1,22,2013,3
348,0,0,16107,1,1990,1,22,1990,1
349,2,2,1490,4,2009,0,0,2009,0
350,3,0,8880,1,1990,1,14,1990,1
351,0,0,5290,11,2012,1,5,2012,2
352,3,2,6360,1,1990,1,40,1990,3
353,1,1,900,1,1990,1,14,1990,2
354,3,2,1500,10,2005,0,0,2005,0
355,0,2,9720,8,2013,0,0,2013,0
356,3,2,8970,12,2007,1,22,2007,2
357,0,0,2060,10,2008,0,0,2008,0
358,0,0,2890,10,2003,0,0,2003,0
359,3,2,4370,1,1990,0,0,1990,0
360,0,0,2040,6,2007,0,0,2007,0
361,2,2,4490,5,2014,1,5,2014,2
362,2,2,340,1,1990,0,0,1990,0
363,0,0,250,9,2009,0,0,2009,0
364,0,2,13620,1,1990,1,10,1990,3
365,2,0,2410,1,1990,1,45,1990,2
366,3,2,6470,12,2004,0,0,2004,0
367,3,2,2640,9,2012,0,0,2012,0
368,3,2,1450,4,2005,1,45,2005,2
369,3,2,5870,4,2014,0,0,2014,0
370,3,0,8250,10,2000,1,31,2000,1
371,3,2,1970,7,2009,1,45,2009,2
372,3,2,4880,8,2010,1,18,2010,1
373,3,2,11120,1,1990,1,22,1990,1
374,0,0,1150,9,2007,0,0,2007,0
375,0,2,15710,2,2013,1,37,2013,1
376,0,0,160,8,2012,0,0,2012,0
377,0,2,100,6,2010,1,18,2010,2
378,0,2,2140,8,2012,0,0,2012,0
379,3,0,6630,1,1990,0,0,1990,0
380,0,0,2240,5,2013,1,10,2013,3
381,0,0,1800,11,2006,1,5,2006,2
382,2,2,16107,11,2002,0,0,2002,0
383,0,2,350,1,1990,0,0,1990,0
384,0,2,130,1,1990,1,14,1990,1
385,3,0,4580,9,2007,0,0,2007,0
386,3,2,1460,4,2014,1,31,2014,1
387,2,0,210,1,1990,1,36,1990,3
388,0,0,2260,1,1990,0,0,1990,0
389,0,2,6690,8,2011,0,0,2011,0
390,0,2,1600,4,2009,0,0,2009,0
391,0,0,460,11,2014,1,31,2014,2
392,0,0,2120,1,1990,0,0,1990,0
393,3,2,4820,3,2008,0,0,2008,0
394,3,0,10850,1,1990,0,0,1990,0
395,0,0,3620,2,2013,0,0,2013,0
396,0,2,16107,1,1990,0,0,1990,0
397,0,2,130,1,1990,1,27,1990,2
398,2,2,1540,1,1990,1,1,1990,1
399,0,0,5360,9,2012,1,40,2012,1
400,0,0,70,11,2004,1,14,2004,1
401,0,2,9200,10,2009,1,14,2009,1
402,2,2,5830,9,2011,1,13,2011,1
403,0,0,4970,7,2015,0,0,2015,0
404,0,2,1420,1,1990,1,10,1990,3
405,0,0,1080,4,2008,1,14,2008,1
406,3,2,8240,3,2001,1,10,2001,2
407,0,0,5890,10,2003,1,14,2003,2
408,2,0,1560,1,1990,1,45,1990,2
409,3,2,840,1,1990,1,1,1990,1
410,2,0,40,11,2011,1,22,2011,3
411,3,2,8460,1,1990,0,0,1990,0
412,3,2,4460,1,1990,1,39,1990,1
413,0,2,760,9,2014,0,0,2014,0
414,3,2,6210,1,1990,1,1,1990,1
415,3,2,6910,4,2005,0,0,2005,0
416,0,2,4650,6,2014,0,0,2014,0
417,0,2,840,1,1990,1,10,1990,1
418,0,0,1060,5,2009,1,27,2009,2
419,2,0,1620,9,2009,0,0,2009,0
420,3,2,250,1,1990,1,27,1990,1
421,2,2,3530,6,2012,1,35,2012,3
422,0,2,2880,1,1990,0,0,1990,0
423,1,0,1270,5,2014,0,0,2014,0
424,3,2,1250,1,1990,1,40,1990,1
425,3,2,1460,1,1990,0,0,1990,0
426,0,0,250,1,1990,0,0,1990,0
427,0,2,70,7,2005,1,13,2005,1
428,3,0,2960,12,2014,1,23,2014,3
429,3,2,16107,7,2005,1,31,2005,1
430,3,2,12870,10,2008,0,0,2008,0
431,3,2,4520,1,1990,0,0,1990,0
432,0,0,810,5,2013,0,0,2013,0
433,0,2,16107,11,2010,0,0,2010,0
434,0,0,13020,8,2003,1,40,2003,1
435,0,0,910,1,1990,0,0,1990,0
436,3,0,2300,1,1990,0,0,1990,0
437,2,2,430,1,1990,1,50,1990,1
438,3,2,1110,1,1990,1,40,1990,1
439,0,0,1350,9,2009,0,0,2009,0
440,3,0,3900,4,2005,1,45,2005,2
441,3,0,2530,1,1990,0,0,1990,0
442,2,0,500,1,1990,1,45,1990,2
443,3,0,11400,12,2005,0,0,2005,0
444,2,0,1700,11,2009,0,0,2009,0
445,0,0,240,1,1990,0,0,1990,0
446,0,0,340,10,2000,1,31,2000,2
447,0,2,1510,9,2013,0,0,2013,0
448,0,2,3970,9,2009,0,0,2009,0
449,0,2,120,12,2014,1,37,2014,1
450,2,0,5780,11,1994,1,10,1994,3
451,0,0,2460,4,2009,1,13,2009,1
452,0,2,1850,8,2013,1,5,2013,2
453,0,2,16107,1,1990,0,0,1990,0
454,0,0,16107,1,1990,0,0,1990,0
455,3,2,7660,9,2010,0,0,2010,0
456,0,2,140,1,1990,0,0,1990,0
457,3,2,13140,1,1990,1,31,1990,1
458,2,0,3390,1,1990,0,0,1990,0
459,0,0,250,9,2008,1,5,2008,2
460,0,0,16107,4,2008,0,0,2008,0
461,3,2,1790,7,2013,1,40,2013,1
462,0,0,16107,8,2008,0,0,2008,0
463,0,0,4160,1,1990,0,0,1990,0
464,2,0,520,3,2009,0,0,2009,0
465,3,2,10890,4,2005,0,0,2005,0
466,0,2,3110,3,2003,0,0,2003,0
467,0,2,16107,4,2008,0,0,2008,0
468,2,2,5260,9,2012,0,0,2012,0
469,2,2,710,9,2005,0,0,2005,0
470,0,2,50,1,1990,0,0,1990,0
471,3,0,5300,1,1990,1,45,1990,2
472,2,2,5030,8,2011,0,0,2011,0
473,0,0,50,1,1990,0,0,1990,0
474,2,0,14810,1,1990,1,14,1990,3
475,0,0,140,9,2005,0,0,2005,0
476,3,0,8300,9,2006,0,0,2006,0
477,3,0,770,7,2010,1,35,2010,1
478,3,2,1940,3,2012,0,0,2012,0
479,0,0,320,12,2005,1,9,2005,2
480,0,0,300,11,2012,0,0,2012,0
481,2,2,7470,1,1990,1,44,1990,2
482,2,0,2550,10,2005,0,0,2005,0
483,0,2,2310,9,2011,1,13,2011,1
484,0,2,14300,3,2011,0,0,2011,0
485,3,2,3270,1,1990,1,22,1990,1
486,0,0,2320,1,1990,1,31,1990,1
487,3,2,2180,9,2012,1,40,2012,1
488,0,2,2890,4,2014,0,0,2014,0
489,0,0,14960,11,2013,1,37,2013,1
490,0,0,660,4,2013,1,40,2013,1
491,3,2,4680,1,1990,1,22,1990,3
492,0,0,1740,3,2008,1,40,2008,1
493,3,2,1150,1,1990,1,14,1990,1
494,1,0,1260,6,2011,0,0,2011,0
495,3,0,5470,1,1990,1,37,1990,1
496,3,2,2780,6,2015,0,0,2015,0
497,0,2,1610,1,1990,0,0,1990,0
498,0,0,990,1,1990,1,40,1990,1
499,2,2,450,1,1990,1,5,1990,2
500,3,2,10690,9,2007,1,5,2007,1
501,0,2,1620,9,2006,0,0,2006,0
502,0,0,220,2,2002,1,37,2002,1
503,3,2,13080,9,2006,1,14,2006,1
504,2,2,820,1,1990,0,0,1990,0
505,0,0,350,1,1990,1,5,1990,2
506,0,0,1850,12,2014,1,18,2014,2
507,0,2,9070,4,2011,1,37,2011,1
508,0,2,1280,1,1990,1,40,1990,1
509,0,0,4740,7,2008,1,37,2008,1
510,0,2,8260,1,1990,0,0,1990,0
511,0,0,2060,9,2009,0,0,2009,0
512,1,1,590,1,1990,1,5,1990,3
513,0,0,400,8,2013,0,0,2013,0
514,2,2,1200,7,2012,1,27,2012,1
515,3,2,11260,1,1990,1,9,1990,2
516,0,2,20,1,1990,1,35,1990,3
517,0,2,16107,1,1990,0,0,1990,0
518,3,2,3330,3,2015,1,13,2015,1
519,2,2,2510,8,2009,1,1,2009,1
520,0,2,6900,1,1990,1,40,1990,3
521,3,0,16107,11,2002,1,48,2002,3
522,3,2,7160,11,2012,1,9,2012,1
523,2,2,50,11,2013,0,0,2013,0
524,0,2,16107,9,2013,0,0,2013,0
525,3,2,1870,9,2013,0,0,2013,0
526,0,0,120,1,1990,1,48,1990,3
527,3,2,5830,4,2008,0,0,2008,0
528,0,2,16107,1,1990,1,37,1990,1
529,3,2,12920,9,2012,0,0,2012,0
530,0,2,16107,1,1990,0,0,1990,0
531,0,2,4030,1,1990,0,0,1990,0
532,0,2,1070,8,2010,0,0,2010,0
533,0,2,5950,1,1990,0,0,1990,0
534,3,0,1200,9,2009,1,45,2009,1
535,0,0,3570,4,2007,0,0,2007,0
536,0,2,4700,9,2002,1,31,2002,2
537,0,0,600,5,2002,1,1,2002,1
538,0,0,990,2,2010,0,0,2010,0
539,0,0,770,5,2013,1,40,2013,1
540,3,2,810,1,1990,1,48,1990,1
541,0,2,650,7,1990,0,0,1990,0
542,0,0,7280,9,2012,1,1,2012,1
543,2,0,1080,12,2012,0,0,2012,0
544,0,0,250,12,2001,1,13,2001,1
545,0,2,5020,5,2006,1,18,2006,2
546,0,0,580,1,2005,0,0,2005,0
547,3,2,8990,11,2009,1,35,2009,3
548,3,2,3760,2,2009,0,0,2009,0
549,0,2,2330,1,1990,0,0,1990,0
550,3,2,50,6,2015,0,0,2015,0
551,0,2,2190,9,2013,0,0,2013,0
552,0,0,4260,7,2008,1,37,2008,1
553,2,0,3040,9,2002,1,13,2002,1
554,2,2,1200,1,1990,0,0,1990,0
555,3,0,1560,1,2014,1,10,2014,3
556,3,2,1140,11,2014,0,0,2014,0
557,0,0,250,1,1990,0,0,1990,0
558,0,0,3000,2,2010,0,0,2010,0
559,3,0,3910,11,2006,1,5,2006,2
560,2,2,1910,7,2013,0,0,2013,0
561,3,0,14300,1,1990,0,0,1990,0
562,1,2,1210,1,1990,0,0,1990,0
563,0,0,700,3,2015,1,10,2015,1
564,3,2,6540,1,1990,1,14,1990,1
565,0,2,160,7,2007,0,0,2007,0
566,0,0,3620,1,1990,1,40,1990,1
567,2,0,1010,9,2012,1,18,2012,2
568,3,2,4270,1,1990,1,1,1990,1
569,0,0,1340,9,2006,0,0,2006,0
570,0,0,180,11,2006,0,0,2006,0
571,3,0,2110,11,1995,1,40,1995,1
572,3,2,9230,4,2004,1,37,2004,1
573,0,0,1190,11,2012,1,36,2012,1
574,3,0,4400,1,1990,0,0,1990,0
575,0,0,960,5,2008,1,13,2008,1
576,2,0,50,11,2006,0,0,2006,0
577,0,2,2270,1,1990,1,35,1990,3
578,3,0,12700,4,2013,0,0,2013,0
579,2,0,16107,11,2012,0,0,2012,0
580,0,2,170,2,2009,0,0,2009,0
581,0,0,7250,12,2013,0,0,2013,0
582,0,0,120,1,1990,0,0,1990,0
583,0,0,2640,11,2002,0,0,2002,0
584,3,0,1360,1,1990,1,35,1990,3
585,3,2,440,4,2014,0,0,2014,0
586,0,2,250,10,2008,0,0,2008,0
587,3,2,330,9,2006,1,14,2006,1
588,3,2,15720,3,2010,0,0,2010,0
589,0,2,360,1,1990,1,18,1990,2
590,3,2,4520,9,2010,1,31,2010,1
591,0,2,3340,1,1990,1,22,1990,3
592,0,0,2540,6,2005,0,0,2005,0
593,0,2,16107,3,2010,0,0,2010,0
594,0,0,1790,10,2011,0,0,2011,0
595,2,2,1130,6,2015,0,0,2015,0
596,2,0,290,9,2006,0,0,2006,0
597,0,0,150,9,2008,1,1,2008,3
598,2,0,550,12,2013,1,40,2013,1
599,3,2,580,11,2014,0,0,2014,0
600,3,2,16107,6,2010,1,9,2010,2
601,3,0,8220,4,2014,1,14,2014,1
602,0,0,2710,7,2001,1,22,2001,3
603,0,0,340,4,2007,1,13,2007,1
604,3,0,10950,3,2014,0,0,2014,0
605,3,0,10310,4,2003,1,37,2003,1
606,0,0,2260,11,2007,0,0,2007,0
607,0,0,350,8,1999,1,14,1999,1
608,0,2,16107,2,2013,1,14,2013,1
